Datum,Preis_CHF,BSADF,vol_5d,Slip_%,Bwd_6M_%,Fwd_6M_%,Klassifikation
19.12.2006,138.2,1.099,0.0088,2.5,68.7,22.7,Bubble
27.12.2006,139.0,1.017,0.0283,6.16,78.7,18.8,Bubble
03.01.2007,142.9,1.211,0.0166,3.82,70.8,18.9,Bubble
12.01.2007,147.5,1.269,0.0197,4.45,81.2,16.8,Bubble
20.10.2010,175.6,1.124,0.0084,2.5,18.0,2.6,Indifferent
25.10.2010,176.0,1.01,0.0106,2.62,26.7,-1.4,Bubble
27.10.2010,180.5,1.502,0.0148,3.46,24.3,0.5,Bubble
02.11.2010,180.0,1.046,0.0257,5.63,33.3,1.6,Bubble
10.11.2010,182.8,1.143,0.0117,2.84,35.2,-4.3,Bubble
04.05.2017,610.0,0.997,0.0039,2.5,24.1,9.6,Bubble
08.05.2017,612.0,1.026,0.0066,2.5,25.5,9.2,Bubble
17.01.2020,921.2,1.072,0.0038,2.5,18.3,-4.8,Indifferent
08.04.2021,1262.0,0.997,0.0193,4.36,53.1,8.4,Bubble
20.04.2021,1321.0,1.244,0.0173,3.96,50.0,17.8,Bubble
27.07.2021,1529.5,1.022,0.0173,3.97,39.6,-10.8,Bubble
30.07.2021,1532.5,1.013,0.0129,3.09,46.8,-18.2,Bubble
16.08.2021,1597.5,1.173,0.0159,3.67,41.7,-19.4,Bubble
24.08.2021,1610.5,1.024,0.0159,3.68,48.9,-22.9,Bubble
