Basis-Kosten %,Panik-Slippage %,V6 Total Return %,V6 Max DD %,Momentum Total Return %
0.15,2.5,1111.13,-56.56,1202.4
0.15,5.0,849.35,-57.11,1202.4
0.15,10.0,475.88,-58.21,1202.4
0.15,15.0,243.0,-64.18,1202.4
0.3,2.5,1002.6,-56.66,517.87
0.3,5.0,764.28,-57.21,517.87
0.3,10.0,424.27,-58.3,517.87
0.3,15.0,212.26,-65.71,517.87
0.45,2.5,903.71,-56.75,192.8
0.45,5.0,686.76,-57.3,192.8
0.45,10.0,377.25,-58.4,192.8
0.45,15.0,184.26,-67.17,192.8
0.6,2.5,813.6,-56.85,38.59
0.6,5.0,616.13,-57.4,38.59
0.6,10.0,334.41,-58.49,38.59
0.6,15.0,158.74,-68.57,38.59
